epoch,auc,loss-mean
1,0.7204613999306522,0.55443853
2,0.7597707743397499,0.50500184
3,0.7721166258498525,0.48744035
4,0.7862391312566545,0.4756691
5,0.8014360776506508,0.46213466
6,0.8142734472309421,0.44711593
7,0.8301961953429193,0.4321314
8,0.8374678019168021,0.41962993
9,0.8477733559328671,0.40870553
10,0.8540142063167153,0.39849985
11,0.8572535824806973,0.38819057
12,0.8664556366517391,0.37941295
13,0.87190721731384,0.37174636
14,0.8781317515920821,0.3634046
15,0.8827514779280484,0.35507387
16,0.8865668760596155,0.34657794
17,0.8900382427423227,0.34103715
18,0.8938535873580193,0.33428696
19,0.897022598205815,0.32934457
20,0.9019867352778781,0.32217592
21,0.904607917929275,0.31707793
22,0.9048851771590516,0.3127067
23,0.9089181625064251,0.3078518
24,0.9110330226754723,0.30260512
25,0.9139834705520777,0.29817885
26,0.9169580231717152,0.29428536
27,0.9190371472090683,0.28966454
28,0.9218191040047938,0.28622168
29,0.9220754655469743,0.2813045
30,0.9249852008355117,0.275851
31,0.9281264499358711,0.27334628
32,0.9298711660287439,0.2705313
33,0.9300680768944374,0.2659758
34,0.9331044855470851,0.2622699
35,0.9327106077019705,0.2591593
36,0.9355655853441103,0.25409582
37,0.9369670883133254,0.2506416
38,0.9356039681733159,0.24799532
39,0.9418691597052546,0.24558148
40,0.9425318828383513,0.24135068
41,0.9447679967205973,0.23781733
42,0.9444663233429262,0.23391318
43,0.9454344207618949,0.2332402
44,0.9493218034544056,0.22950764
45,0.9488322852151401,0.22613296
46,0.9497244056853207,0.22514936
47,0.9477021671996775,0.22032814
48,0.9514185892876976,0.21795116
49,0.9523156737445344,0.21627599
50,0.9542070760587521,0.21282308
51,0.9519389750133819,0.21009411
52,0.9551891278708143,0.20822498
53,0.9578860419734385,0.20627812
54,0.956921525701427,0.20124544
55,0.9568721139267795,0.20092145
56,0.9562439688003765,0.19857362
57,0.9609934396879267,0.19620533
58,0.9626865197203165,0.19405715
59,0.9616718453091158,0.19023663
60,0.9632655001283477,0.18887389
61,0.960911619897194,0.18608096
62,0.9642714395025314,0.18376823
63,0.9655303774919922,0.18199821
64,0.9662728252435179,0.17980447
65,0.9625713304463319,0.17881982
66,0.9643639416844771,0.17839567
67,0.9688756324674421,0.17495434
68,0.9672022288697038,0.1704548
69,0.9683964630544502,0.17058882
70,0.968399658419526,0.16953215
71,0.9703830752977834,0.1669267
72,0.9693163164358458,0.1632883
73,0.9713631987200118,0.16294017
74,0.9703409214182167,0.1608225
75,0.9713374570667892,0.15872301
76,0.971178449985326,0.157939
77,0.9714565940454644,0.15504321
78,0.9731011918167223,0.1532035
79,0.9736722162852859,0.15048146
80,0.973760338479006,0.14832495
81,0.9720371238158785,0.14973956
82,0.9748142582081971,0.14549375
83,0.9745724270041813,0.14518592
84,0.9743226302486242,0.14384347
85,0.9763387603912571,0.1448172
86,0.9763427571954598,0.140828
87,0.9763561379815542,0.13930076
88,0.9765766846769497,0.13886712
89,0.9748446167742758,0.13760108
90,0.9771509403610266,0.13515125
91,0.9781126423736994,0.13413726
92,0.9776113111555128,0.13120535
93,0.9773151797878551,0.13084486
94,0.978935393286583,0.12850548
95,0.9788555172130451,0.12938148
96,0.9785776784011965,0.12824629
97,0.9790931300155892,0.12698054
98,0.9800063417137711,0.12602104
99,0.980143276875919,0.12323538
100,0.9804976545531945,0.12125542
